t,x,y,z,roll,pitch,yaw,desired_x,desired_y
3.329592000000048,-0.2905168926762545,-0.06537563549141666,0.12153395497313409,-0.3482220439830356,0.008474499273412858,1.5665363861353112,-0.0716,-0.0852
3.3603846999994857,-0.29051692432159343,-0.06537563659609023,0.12153394754315656,-0.3482220108555848,0.008474469958091129,1.566536347652443,-0.0716,-0.0852
3.4006315999995422,-0.2905169564246293,-0.06537563794165858,0.12153393957792216,-0.3482220180969315,0.00847443247369148,1.566536313445056,-0.0716,-0.0852
3.430856799999674,-0.2864549404605037,-0.06536570610525713,0.12261778052494098,-0.3499096920189773,0.009843336605781142,1.565873548094189,-0.0716,-0.0852
3.461580099999992,-0.27901362001247904,-0.06539144895632208,0.1245287306129989,-0.3515952891448138,0.005921031553654304,1.5525496519490305,-0.0716,-0.0852
3.4922043999995367,-0.27145942679549123,-0.06556320297929845,0.12644462003470522,-0.35248462362245236,-0.00011633798644872337,1.538249862952082,-0.0716,-0.0852
3.5245716999997967,-0.2646184706470034,-0.06585476790416689,0.12811667644418456,-0.3977429901020377,0.0018349854043709954,1.5568743893088681,-0.0716,-0.0852
3.556952099999762,-0.25654693687173913,-0.06603645103980223,0.13007357236856554,-0.36887426322750244,-0.005905165056673532,1.5421429895926013,-0.0716,-0.0852
3.588238700000147,-0.2487462579572916,-0.06634587757268437,0.13190986241257924,-0.36066986378990706,-0.015263941525157377,1.5223641552938862,-0.0716,-0.0852
3.6189673999997467,-0.24115162396458575,-0.06680910569924806,0.13363056900746445,-0.35405206581755627,-0.015388370364929597,1.535305240916116,-0.0716,-0.0852
3.648816999999326,-0.23348411149923054,-0.06711793225476603,0.1353804057063211,-0.34954332905478575,-0.021086766797774527,1.5130656511106721,-0.0716,-0.0852
3.679225599998972,-0.2260538701354029,-0.06756074631520943,0.13709140927577237,-0.3460100124708383,-0.01647851257251521,1.524523884996049,-0.0716,-0.0852
3.7101402999996935,-0.21857848237336866,-0.06785982702610979,0.13884166268655657,-0.3423226378658239,-0.01732266616893224,1.5014104574167424,-0.0716,-0.0852
3.7610686999996688,-0.21116925070060635,-0.06833843460945929,0.1406814130606393,-0.34145142800373335,-0.007822420053252685,1.5158527940483881,-0.0716,-0.0852
3.791627200000221,-0.2045330585822211,-0.06861281322412073,0.14233243661867742,-0.3858305391181198,-0.006513301554233786,1.5001420688482239,-0.0716,-0.0852
3.8225057999989076,-0.19689149745042414,-0.06910451839938678,0.14435301710060153,-0.36012717321528565,0.004561225616543053,1.5264444164490245,-0.0716,-0.0852
3.8541272999991634,-0.18946842206822076,-0.0693726667983872,0.14627630710318115,-0.3576183946769253,0.003696231102632451,1.51706889640107,-0.0716,-0.0852
